,Movie,Year,Genre,Runtime,Rating,No.of.Ratings
0,Bahubali: The Beginning,2015,"Action, Drama            ",159,8.1,99114
1,Baahubali 2: The Conclusion,2017,"Action, Drama            ",167,8.2,71458
2,1 - Nenokkadine,2014,"Action, Thriller            ",170,8.1,42372
3,Dhoom:3,2013,"Action, Thriller            ",172,5.4,42112
4,Ra.One,2011,"Action, Adventure    ",156,4.6,37211
5,Dhoom:2,2006,"Action, Thriller            ",152,6.5,22983
6,Eega,2012,"Action, Fantasy            ",145,7.7,20636
7,Krrish 3,2013,"Action, Sci-Fi            ",152,5.2,20026
8,Arjun Reddy,2017,"Action, Drama, Romance            ",182,8.1,19419
9,Rangasthalam,2018,"Action, Drama            ",170,8.4,17559
10,Magadheera,2009,"Action, Drama, Fantasy            ",166,7.6,17542
11,War,2019,"Action, Thriller            ",154,6.5,17459
12,Bharat Ane Nenu,2018,"Action, Drama            ",173,7.7,14945
13,Saaho,2019,"Action, Thriller            ",170,5.2,14430
14,Theri,2016,"Action, Drama            ",157,7.1,12390
15,Dookudu,2011,"Action, Comedy            ",170,7.4,12295
16,Pokiri,2006,"Action, Thriller            ",164,7.9,12137
17,Sarkar,2018,"Action, Drama            ",163,6.8,12003
18,Athadu,2005,"Action, Thriller            ",172,8.2,11459
19,The Ghazi Attack,2017,"Action, Thriller, War            ",116,7.6,11191
20,Kabali,2016,"Action, Crime, Drama            ",153,6.2,11156
21,MSG: The Messenger of God,2015,"Action, Comedy, Drama            ",197,5.9,11128
22,Nanban,2012,"Comedy, Drama            ",188,7.4,10973
23,Srimanthudu,2015,"Action, Drama            ",158,7.5,10778
24,Veer - Vivegam,2017,"Action, Thriller            ",149,5.6,10399
25,Billa 2,2012,"Action, Thriller            ",129,6.2,10038
26,Manam,2012,"Comedy, Drama, Fantasy            ",163,8,9589
27,7 Aum Arivu,2011,"Action, Sci-Fi, Thriller            ",160,6.2,9482
28,Bigil,2019,"Action, Drama, Sport            ",179,6.8,9337
29,Business Man,2012,"Action, Crime            ",133,7.1,9265
30,Geetha Govindam,2018,"Drama, Romance            ",142,7.7,8846
31,Mahanati,2018,"Biography, Drama            ",177,8.5,8732
32,Spyder,2017,"Action, Thriller            ",155,6.6,8666
33,Nannaku Prematho,2016,"Action, Drama, Thriller            ",168,7.6,8589
34,Dabangg 3,2019,"Action, Comedy            ",160,3.3,8542
35,MSG 2 the Messenger,2015,"Comedy, Drama, Fantasy            ",134,6.7,8413
36,Manikarnika: The Queen of Jhansi,2019,"Action, Biography, Drama            ",148,6.4,8227
37,Race Gurram,2014,"Action, Comedy            ",163,7.2,8183
38,Okkadu,2003,"Action, Romance, Sport            ",170,8,8118
39,Bommarillu,2006,"Comedy, Drama, Romance            ",170,8.2,8111
40,Atharintiki Daaredi,2013,"Comedy, Drama            ",170,7.2,8081
41,Khaleja,2010,"Action, Comedy, Fantasy            ",170,7.5,7893
42,Yennai Arindhaal,2015,"Action, Thriller            ",168,7.3,7746
43,Thalaivaa,2013,"Action, Drama, Thriller            ",179,6.1,7744
44,Kaala,2018,"Action, Drama            ",162,6.7,7494
45,Bairavaa,2017,"Action, Thriller            ",169,5.9,7388
46,Goodachari,2018,"Action, Thriller            ",147,7.8,7120
47,Puli,2015,"Action, Adventure, Fantasy            ",155,4.4,7058
48,Pulimurugan,2016,Action            ,161,6.8,6686
49,Veeram,2014,Action            ,161,6.5,6661
50,Vedam,2010,"Action, Drama            ",135,8.1,6492
51,Yevadu,2014,"Action, Thriller            ",165,5.6,6373
52,Aravindha Sametha Veera Raghava,2018,"Action, Drama            ",162,7.7,6371
53,Billa,2007,"Action, Thriller            ",130,7.2,6144
54,Jersey,2019,"Drama, Sport            ",157,8.6,6039
55,Sye Raa Narasimha Reddy,2019,"Action, Adventure, Drama            ",167,7.5,5848
56,Ala Vaikunthapurramuloo,2020,"Action, Drama            ",163,7.2,5732
57,Janatha Garage,2016,"Action, Drama            ",162,7.3,5562
58,Gabbar Singh,2012,"Action, Comedy            ",153,7.1,5550
59,Temper,2015,"Action, Drama            ",147,7.4,5524
60,Game Over,,"Drama, Thriller            ",102,7.1,5418
61,Singam 2,2013,"Action, Thriller            ",166,6.3,5378
62,Dhruva,2016,"Action, Thriller            ",165,7.9,5346
63,Jalsa,2008,"Action, Comedy            ",161,7.3,5294
64,Maharshi,2019,"Action, Drama            ",176,7.3,5197
65,Pelli Choopulu,2016,"Comedy, Drama, Romance            ",125,8.2,5167
66,Arya 2,2009,"Action, Comedy            ",155,7.4,5164
67,Chekka Chivantha Vaanam,2018,"Action, Crime, Drama            ",146,7.3,5127
68,Naa Peru Surya Na Illu India,2018,"Action, Drama            ",163,6.8,5102
69,Ki & Ka,2016,"Comedy, Romance            ",126,5.8,5083
70,Seethamma Vakitlo Sirimalle Chettu,2013,"Comedy, Drama, Family            ",159,7.5,5075
71,Singam 3,2017,"Action, Thriller            ",155,6.3,5068
72,Agent Sai Srinivasa Athreya,2019,"Action, Comedy, Crime            ",148,8.5,4985
73,Jai Lava Kusa,2017,"Action, Drama            ",150,7,4872
74,Arya,2004,"Action, Drama, Romance            ",151,7.8,4818
75,Maattrraan,2012,"Action, Sci-Fi, Thriller            ",165,5.9,4741
76,Kochadaiiyaan,2014,"Animation, Action            ",124,6.3,4694
77,Thaanaa Serndha Koottam,2018,"Action, Comedy, Crime            ",138,6.8,4658
78,OK Kanmani,2015,Romance            ,139,7.4,4632
79,Dear Comrade,2019,"Action, Drama, Romance            ",169,7.3,4575
80,Happy Days,2007,Drama            ,153,7.9,4416
81,Sarileru Neekevvaru,2020,"Action, Comedy, Drama            ",169,6.1,4367
82,Julayi,2012,"Action, Comedy            ",160,7.2,4329
83,Kshanam,2016,Thriller            ,110,8.3,4231
84,Oopiri,2016,"Comedy, Drama            ",158,8,3927
85,Baadshah,2013,"Action, Comedy            ",164,6.4,3898
86,3,,"Drama, Mystery, Romance            ",145,7.2,3879
87,Sarrainodu,2016,"Action, Drama            ",159,6.4,3876
88,Kick,2009,"Action, Comedy            ",155,7.8,3874
89,Leader,2010,Drama            ,167,8,3868
90,Anjaan,2014,"Action, Musical, Thriller            ",166,5,3818
91,Khushi,2001,"Drama, Romance            ",169,7.9,3783
92,Maya Bazaar,1957,"Comedy, Drama, Family            ",192,9.2,3733
93,Rakhta Charitra,2010,"Action, Biography, Crime            ",125,7.6,3718
94,Mirchi,2013,"Action, Drama            ",155,7.2,3708
95,Chatrapathi,2005,"Action, Drama            ",158,7.6,3700
96,C/o Kancharapalem,2018,Drama            ,152,9,3699
97,Sachein,2005,"Comedy, Drama, Romance            ",145,6.9,3643
98,Murari,2001,"Drama, Romance, Thriller            ",180,7.8,3630
99,Vikramarkudu,2006,Action            ,140,7.7,3571
100,Kuruthipunal,1995,"Action, Drama, Thriller            ",143,8.5,3513
101,Brindaavanam,2010,"Action, Comedy, Drama            ",169,7.1,3511
102,Panjaa,2011,"Action, Thriller            ",156,6.5,3479
103,Nuvvu Naaku Nachchav,2001,"Musical, Comedy, Family            ",184,8.7,3475
104,Gopala Gopala,2015,"Comedy, Drama, Fantasy            ",153,7.3,3433
105,Kaappaan,2019,"Action, Thriller            ",166,6.4,3410
106,Aagadu,2014,"Action, Comedy            ",165,5.4,3410
107,Masss,2015,"Action, Comedy, Horror            ",151,6,3384
108,Maanagaram,2017,"Action, Thriller            ",137,8.1,3371
109,Drushyam,2014,"Crime, Drama, Family            ",150,8.3,3344
110,Yamadonga,2007,"Action, Comedy, Fantasy            ",185,7.3,3341
111,S/O Satyamurthy,2015,"Action, Drama            ",162,6.9,3265
112,Tholi Prema,1998,"Drama, Romance            ",146,8.2,3211
113,Awe!,2018,Thriller            ,150,7.8,3208
114,Yatra,2018,"Biography, Drama, Romance            ",127,8.2,3193
115,Fidaa,2017,"Drama, Romance            ",144,7.5,3154
116,Oosaravelli,2011,"Action, Thriller            ",145,6.6,3122
117,Evaru,2019,"Crime, Drama, Thriller            ",118,8.2,3115
118,Odiyan,2018,"Action, Drama, Fantasy            ",167,5.5,3113
119,Khaidi No 150,2017,"Action, Drama            ",142,6,3107
120,NGK,2019,"Action, Drama            ",148,6,3099
121,Duvvada Jagannadham,2017,"Action, Comedy            ",152,5.6,3087
122,Bale Bale Magadivoy,2015,"Comedy, Romance            ",137,7.8,3073
123,Shiva,1989,"Action, Crime, Drama            ",161,8.1,3072
124,Manmadhudu,2002,"Comedy, Romance            ",142,8.3,3046
125,Mr Perfect,2011,"Drama, Romance            ",144,7.1,2917
126,Orange,2010,"Comedy, Drama, Romance            ",162,6.6,2837
